geneSymbol,log2FC,p_value,FDR,type
Trim27,-0.1915301374780949,2.99557876660513e-05,0.004133170128632348,DN
Arhgap6,0.465500053978289,3.013295228673726e-05,0.004137536167947247,UP
Trim47,1.0987917682986046,3.097592252525441e-05,0.004234318865004289,UP
Rgn,1.0968827622869606,3.105965844601281e-05,0.004234318865004289,UP
Rfc5,-0.24954296711493829,3.150542981987244e-05,0.0042650570818559465,DN
HAG_015368,2.1642889910658365,3.1620327836247324e-05,0.0042650570818559465,UP
Scd1,1.056380927964652,3.159378947187449e-05,0.0042650570818559465,UP
Rgs19,-0.34012576858822197,3.176993847197005e-05,0.004270148208986059,DN
Lox,0.9591023058943517,3.203098489211929e-05,0.004290128965971852,UP
Ctsw,1.2716828555600377,3.289820696516828e-05,0.004390875371588824,UP
Ybx1,-0.2331844404701151,3.3516173613470045e-05,0.004457767871684246,DN
Tmem56,0.5916751410915824,3.466368733476956e-05,0.0045887529149990286,UP
Hat1,-0.20042929228930717,3.474142283440007e-05,0.0045887529149990286,DN
Syt9,0.6600266032641124,3.505174752627921e-05,0.00461377691921769,UP
Epha4,0.9005952043424981,3.533373045587787e-05,0.004623437963797718,UP
Extl1,0.8716846702779235,3.5367386708292296e-05,0.004623437963797718,UP
Mcm5,-0.5494427788836473,3.5791392850974716e-05,0.00466289777442801,DN
Sema4f,1.1350288305967768,3.61187678016636e-05,0.004689542872534364,UP
Flt3,-1.5769448953608096,3.639948657855523e-05,0.00470997017517495,DN
Gda,1.7301869996783932,3.68784752088477e-05,0.004755828228622075,UP
Suv39h1,-0.28010721244118564,3.798324754349056e-05,0.004865424581309134,DN
6330406I15Rik,-0.3563324189342687,3.797491127016842e-05,0.004865424581309134,DN
Pdgfd,0.6125150551667882,3.833917386603002e-05,0.004894591788675913,UP
Cyyr1,0.43349962023978605,3.86177715569532e-05,0.004897400584292417,UP
Slamf1,0.8612068594993794,3.861724148094008e-05,0.004897400584292417,UP
Dnajc3,0.20479614700281523,3.911108531866879e-05,0.004943537578755712,UP
Trpm2,-1.0362427004437305,3.9322224693274065e-05,0.004953821653437814,DN
Bcl6,1.0516790947223482,3.9903083705153974e-05,0.0050104622078721624,UP
HAG_001868,0.7853932450031935,4.015250699781923e-05,0.005025250810231985,UP
Cdca5,-0.5107646334878782,4.057082416517105e-05,0.005061011438016044,DN
Dsg2,1.6842916169621298,4.100044221103354e-05,0.005090863877422353,UP
Sf3a2,-0.25879919419931063,4.1210231010256395e-05,0.005090863877422353,DN
5730469M10Rik,0.5129898945318629,4.120978634217262e-05,0.005090863877422353,UP
Sis,1.3194752533744507,4.137145523238781e-05,0.005094294158486153,UP
Abcc3,0.6180924339611757,4.1684593151333866e-05,0.005116348198626097,UP
Epha2,1.670705303967915,4.234423199564228e-05,0.005148650315172431,UP
5830405N20Rik,-1.395433694261056,4.219150794198673e-05,0.005148650315172431,DN
Rarg,0.5722807318153258,4.235241011642417e-05,0.005148650315172431,UP
Mmrn1,0.6090783881084825,4.26748750970923e-05,0.0051664396146394904,UP
Gna15,-0.5657701655128822,4.276943618951271e-05,0.0051664396146394904,DN
HAG_015369,2.676596942393643,4.313173585804858e-05,0.005193768521051831,UP
Igf1,-1.322144853392246,4.350785990063762e-05,0.005208037372896874,DN
Gm16485,1.4317390711482068,4.3523103896942864e-05,0.005208037372896874,UP
Emid1,-0.9238363831109426,4.3867821603235775e-05,0.005221817433810916,DN
Ndrg2,0.739151431643295,4.391185676027727e-05,0.005221817433810916,UP
Pkp2,0.8166607903196552,4.4443643999737646e-05,0.005252330584390048,UP
AI427809,-0.4435098799753649,4.437763596972452e-05,0.005252330584390048,DN
Reep4,-0.29180240737050145,4.468101798700331e-05,0.005257381420462807,DN
Tmem221,0.719228389516257,4.4761840135450385e-05,0.005257381420462807,UP
4930547N16Rik,-0.40669693598341006,4.515925732005445e-05,0.005287788866322449,DN
"AK031816,AK141638,AK165889",1.7565819838358188,4.538529999245811e-05,0.005298005111046211,UP
Sbf2,0.7089388306956703,4.5579092640541904e-05,0.005304405866691358,UP
Islr,-0.6623248631774294,4.579112049039138e-05,0.0053128834387818225,DN
H2-T3,1.8864367509099285,4.678170275936734e-05,0.005411367144638091,UP
Ctnnal1,0.4352228462409542,4.750663505032026e-05,0.005471146749350906,UP
Lgr5,0.8114751548170545,4.758515982354869e-05,0.005471146749350906,UP
HAG_023177,1.0337040668313384,4.782676490675301e-05,0.005482412222284011,UP
Ntn4,1.4026547251099943,4.8109208669149915e-05,0.005498277584786798,UP
Nsf,0.36029634558249857,4.8430512597734864e-05,0.005518476199643986,UP
Haus4,-0.24024739144117913,4.8769169946423437e-05,0.005540526057127605,DN
Cdc6,-0.6570156149144761,5.06057860295776e-05,0.005651016688888023,DN
Sept6,-0.3116806821946456,5.018864272869915e-05,0.005651016688888023,DN
Ssbp2,0.2666495952774097,5.0077219639025434e-05,0.005651016688888023,UP
