geneSymbol,log2FC,p_value,FDR,type,young_promoter_methylation,young_CpG_count,aged_promoter_methylation,aged_CpG_count,promoter_methylation_change,multiomics_pattern
Kcnk12,-1.3888061127834248,8.741482207417393e-07,0.0005944073082917,DN,0.0547945205479452,73.0,0.14612328767123287,73,0.09132876712328766,RNA_DOWN_METHYLATION_UP
Hoxb8,2.304165797085896,8.684250853991457e-07,0.0005944073082917,UP,0.17029032258064516,31.0,0.24424137931034484,29,0.07395105672969968,RNA_UP_METHYLATION_UP
Plscr2,2.6965375786748824,9.270455866828164e-07,0.0005944073082917,UP,0.53475,12.0,0.6498235294117647,17,0.11507352941176474,RNA_UP_METHYLATION_UP
5430427O19Rik,-0.8557279320245819,9.99086806898253e-07,0.0005944073082917,DN,0.625,12.0,0.9333,10,0.3083,RNA_DOWN_METHYLATION_UP
HNG_033743,-1.3441167406712309,1.0954628912114945e-06,0.0006149413159312,DN,,,0.3335,2,,insufficient_WGBS_data
Ccnb2,-0.4520912088954025,1.1389114159900682e-06,0.0006300656024807,DN,0.5333333333333333,15.0,0.20291304347826086,23,-0.33042028985507244,RNA_DOWN_METHYLATION_DOWN
Slc6a8,0.8603999741791766,1.1868171229905168e-06,0.000647188331697,UP,0.13333333333333333,15.0,0.2727272727272727,11,0.13939393939393938,RNA_UP_METHYLATION_UP
Plcl1,1.165863863616864,1.2131325564426057e-06,0.0006522210696412,UP,0.26108333333333333,36.0,0.17162264150943396,53,-0.08946069182389937,RNA_UP_METHYLATION_DOWN
2610034B18Rik,1.2756207950298668,1.28295317216781e-06,0.0006801790067776,UP,0.26980952380952383,21.0,0.2323125,32,-0.03749702380952383,RNA_UP_METHYLATION_DOWN
Rarb,1.313972370708484,1.3074631736498031e-06,0.0006836778666378,UP,0.20833333333333334,12.0,0.022222222222222223,45,-0.18611111111111112,RNA_UP_METHYLATION_DOWN
Vldlr,0.9492047313606662,1.3514532064753256e-06,0.0006971306999672,UP,0.5190571428571429,35.0,0.31623076923076926,39,-0.20282637362637362,RNA_UP_METHYLATION_DOWN
Jam2,1.619669686100864,1.3946760620105963e-06,0.0007098343285209,UP,0.2753478260869565,23.0,0.3,25,0.024652173913043474,RNA_UP_METHYLATION_UP
Adck3,0.6836209328290765,1.4500658663130405e-06,0.0007283146611697,UP,0.35714285714285715,35.0,0.51468,25,0.15753714285714288,RNA_UP_METHYLATION_UP
1200009I06Rik,1.8909863578202355,1.5208617207351905e-06,0.0007344686994976,UP,0.5092777777777777,18.0,0.501,21,-0.008277777777777717,RNA_UP_METHYLATION_DOWN
Ect2,-0.8285516958660422,1.5263335266296711e-06,0.0007344686994976,DN,0.6125,16.0,0.35354545454545455,33,-0.2589545454545455,RNA_DOWN_METHYLATION_DOWN
Wasf3,0.7811910918541962,1.5392826144768235e-06,0.0007344686994976,UP,0.7580645161290323,31.0,0.8762000000000001,35,0.11813548387096784,RNA_UP_METHYLATION_UP
Rbl1,-0.2761191945440968,1.5106679794610517e-06,0.0007344686994976,DN,0.28679245283018867,53.0,0.4525641025641025,39,0.16577164973391384,RNA_DOWN_METHYLATION_UP
Sfpi1,-0.4291365410486421,1.667170027561283e-06,0.0007611748497771,DN,0.3620555555555555,18.0,0.34759999999999996,15,-0.014455555555555555,RNA_DOWN_METHYLATION_DOWN
Lhfpl2,-0.572412176967763,1.6750153877523733e-06,0.0007611748497771,DN,0.4827586206896552,29.0,0.23785416666666667,48,-0.24490445402298852,RNA_DOWN_METHYLATION_DOWN
Sdpr,1.385304315857537,1.6484731885023804e-06,0.0007611748497771,UP,0.6363636363636364,11.0,0.48442857142857143,14,-0.15193506493506492,RNA_UP_METHYLATION_DOWN
H2afy,-0.3448677669593465,1.641542896129574e-06,0.0007611748497771,DN,0.9800000000000001,5.0,0.6388888888888888,18,-0.34111111111111125,RNA_DOWN_METHYLATION_DOWN
Nlrp10,-1.1482103327784063,1.797846314095589e-06,0.0007888205689845,DN,0.5926666666666667,9.0,0.7,10,0.10733333333333328,RNA_DOWN_METHYLATION_UP
HNG_029772,0.6438572997763732,1.7585238112752631e-06,0.0007888205689845,UP,0.6758888888888889,18.0,0.7691428571428572,21,0.09325396825396837,RNA_UP_METHYLATION_UP
Slc1a1,0.9667412835159044,1.791346098201743e-06,0.0007888205689845,UP,0.3456,35.0,0.39714285714285713,35,0.05154285714285711,RNA_UP_METHYLATION_UP
Selp,2.3732463941266975,1.8216691378036763e-06,0.0007901903900936,UP,0.7894736842105263,19.0,0.72,20,-0.06947368421052635,RNA_UP_METHYLATION_DOWN
Rragd,0.7022247862894697,1.909625957815521e-06,0.0008070079999991,UP,0.369,25.0,0.36188000000000003,25,-0.00711999999999996,RNA_UP_METHYLATION_DOWN
Hoxb9,1.664316896289181,1.8932914959667252e-06,0.0008070079999991,UP,0.10473809523809524,42.0,0.18858730158730158,63,0.08384920634920634,RNA_UP_METHYLATION_UP
D14Ertd668e,1.8153347030305864,1.92386377449248e-06,0.0008070079999991,UP,0.96096,25.0,0.9035599999999999,25,-0.05740000000000012,RNA_UP_METHYLATION_DOWN
HNG_018160,-0.8336999508484748,2.042174379980987e-06,0.0008473247873112,DN,0.8653846153846154,13.0,0.87925,12,0.013865384615384557,RNA_DOWN_METHYLATION_UP
Mcm3,-0.4407576576729592,2.111648404478659e-06,0.0008667294935027,DN,0.44445454545454544,33.0,0.6944583333333334,24,0.25000378787878796,RNA_DOWN_METHYLATION_UP
HAG_040210,-0.996631994286298,2.172722232938645e-06,0.000873022663955,DN,0.18428070175438596,57.0,0.3391212121212121,33,0.15484051036682614,RNA_DOWN_METHYLATION_UP
HNG_008959,-0.959987328077344,2.1576950793837624e-06,0.000873022663955,DN,0.5770357142857143,28.0,0.4711035714285714,28,-0.10593214285714292,RNA_DOWN_METHYLATION_DOWN
2310069B03Rik,1.1970975483059374,2.22255916579098e-06,0.0008837450882976,UP,0.8269230769230769,26.0,0.7116896551724138,29,-0.11523342175066309,RNA_UP_METHYLATION_DOWN
Pbx3,1.0705873994213748,2.3099754199692693e-06,0.000890670522536,UP,0.10698387096774194,62.0,0.07624719101123596,89,-0.030736679956505975,RNA_UP_METHYLATION_DOWN
Epcam,1.6499784784297895,2.288621913462786e-06,0.000890670522536,UP,0.7395625,16.0,0.8147777777777778,18,0.07521527777777781,RNA_UP_METHYLATION_UP
Kcna4,0.4154719924704854,2.304409882934696e-06,0.000890670522536,UP,0.6060909090909091,11.0,0.6309285714285714,14,0.02483766233766227,RNA_UP_METHYLATION_UP
St3gal5,-1.1868970313710676,2.377663177627877e-06,0.0009054278306616,DN,0.20810810810810812,37.0,0.1688888888888889,45,-0.039219219219219226,RNA_DOWN_METHYLATION_DOWN
Pde9a,1.2301435976459114,2.3956882242698764e-06,0.0009054278306616,UP,0.24074074074074073,27.0,0.22454545454545452,33,-0.016195286195286207,RNA_UP_METHYLATION_DOWN
Slc6a15,0.5555411218860806,2.675471963698827e-06,0.0009816472264342,UP,0.40154545454545454,11.0,0.47713333333333335,15,0.07558787878787881,RNA_UP_METHYLATION_UP
Myo6,0.7558656730659576,2.695690923171466e-06,0.0009816472264342,UP,0.07575757575757576,33.0,0.05494594594594594,37,-0.020811629811629817,RNA_UP_METHYLATION_DOWN
Ocln,1.3513258516144444,2.700224216063945e-06,0.0009816472264342,UP,0.2232830188679245,53.0,0.13679245283018868,53,-0.08649056603773583,RNA_UP_METHYLATION_DOWN
Uap1,-0.378207339354633,2.6333273146798143e-06,0.0009816472264342,DN,0.24803703703703703,27.0,0.23897058823529413,34,-0.009066448801742899,RNA_DOWN_METHYLATION_DOWN
AK080222,0.977327887189836,2.8066758810436063e-06,0.0009942108971647,UP,0.9076315789473685,19.0,0.8588235294117647,17,-0.048808049535603804,RNA_UP_METHYLATION_DOWN
2510009E07Rik,0.4375898689602762,2.794067004287515e-06,0.0009942108971647,UP,0.25842857142857145,35.0,0.10687301587301588,63,-0.15155555555555555,RNA_UP_METHYLATION_DOWN
Neo1,1.6158664140228671,2.812919859944149e-06,0.0009942108971647,UP,0.195,50.0,0.13105454545454545,55,-0.06394545454545456,RNA_UP_METHYLATION_DOWN
HNG_025689,0.5350965615887523,2.859596340032609e-06,0.0010014358852451,UP,0.9848181818181818,11.0,0.9907777777777778,9,0.0059595959595959425,RNA_UP_METHYLATION_UP
Sfrp1,1.5341287937418802,2.9374654858396814e-06,0.0010193539320497,UP,0.08515789473684211,38.0,0.05506521739130434,46,-0.03009267734553777,RNA_UP_METHYLATION_DOWN
Tmem215,2.1859921121328134,3.0186032586070837e-06,0.0010380731854734,UP,0.8955333333333333,15.0,0.9264736842105264,19,0.030940350877193157,RNA_UP_METHYLATION_UP
Rassf10,1.6872728042942349,3.0552423239756785e-06,0.0010412920534892,UP,0.6054117647058823,17.0,0.4012222222222222,27,-0.2041895424836601,RNA_UP_METHYLATION_DOWN
Cdc25a,-0.5318306173663094,3.0957735742242957e-06,0.0010457687511087,DN,0.42260714285714285,28.0,0.37363599999999997,25,-0.04897114285714288,RNA_DOWN_METHYLATION_DOWN
